,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Wind Onshore
2022-06-28 03:00:00,494.00,101.00,-2.00,46.00,0.00,0.00,-1.00,2147.00
2022-06-28 04:00:00,472.00,101.50,-1.50,-7.50,0.00,0.00,-1.00,2163.00
2022-06-28 05:00:00,555.00,104.50,-1.00,12.50,0.00,0.00,-1.00,2196.50
2022-06-28 06:00:00,841.00,105.50,-2.00,38.00,0.00,31.50,-1.00,2292.00
2022-06-28 07:00:00,1017.50,106.00,-2.00,46.00,0.00,31.00,-1.00,2321.00
2022-06-28 08:00:00,1089.50,94.50,-2.00,46.00,0.00,48.50,-1.00,2318.50
2022-06-28 09:00:00,1075.50,96.50,-1.50,46.00,0.00,66.00,-1.00,2408.50
2022-06-28 10:00:00,1089.50,94.00,-1.00,46.00,0.00,82.00,-1.00,2407.50
2022-06-28 11:00:00,1128.00,94.00,-2.00,46.00,0.00,81.00,-1.00,2389.50
2022-06-28 12:00:00,1045.00,96.50,-2.00,46.00,0.00,82.00,-1.00,2338.50
2022-06-28 13:00:00,1059.00,95.50,-2.00,49.00,0.00,93.50,-1.00,2228.50
2022-06-28 14:00:00,1237.00,96.50,-2.00,91.00,0.00,102.00,-1.00,2099.50
2022-06-28 15:00:00,1302.50,92.00,-2.00,93.50,0.00,100.50,-1.00,1974.00
2022-06-28 16:00:00,1298.50,93.00,-4.00,94.50,0.00,100.50,-1.00,1869.00
2022-06-28 17:00:00,1142.50,91.00,-6.00,93.00,0.00,100.00,-1.00,1657.00
2022-06-28 18:00:00,1049.00,91.50,-6.00,89.00,0.00,100.50,-1.00,1369.50
2022-06-28 19:00:00,1039.00,89.50,-7.00,86.00,0.00,100.50,-1.00,1093.50
2022-06-28 20:00:00,1034.00,86.00,6.00,89.50,0.00,97.00,-1.00,891.50
2022-06-28 21:00:00,1030.00,87.00,35.50,85.00,0.00,76.00,-1.00,816.50
2022-06-28 22:00:00,922.00,90.00,34.00,85.00,0.00,61.00,-1.00,727.50
2022-06-28 23:00:00,1098.50,94.50,36.00,86.00,0.00,44.50,-1.00,595.50
2022-06-29 00:00:00,1257.00,97.50,34.00,85.50,0.00,39.00,-1.00,512.00
2022-06-29 01:00:00,1327.00,95.50,34.50,87.50,0.00,39.00,-1.00,493.50
2022-06-29 02:00:00,1285.00,87.50,36.00,84.50,0.00,39.00,-1.00,480.00
2022-06-29 03:00:00,1335.50,81.50,35.00,85.50,0.00,39.50,-1.00,454.00
2022-06-29 04:00:00,1365.50,86.50,43.00,81.50,0.00,38.50,-1.00,410.50
2022-06-29 05:00:00,1499.50,169.00,118.00,95.50,0.00,39.50,-1.00,396.50
2022-06-29 06:00:00,1602.50,274.00,137.00,95.50,0.00,55.50,-1.00,417.50
2022-06-29 07:00:00,1605.50,349.50,186.00,92.50,0.00,61.00,-1.00,450.00
2022-06-29 08:00:00,1587.50,380.50,169.00,93.00,0.00,78.00,-1.00,561.50
2022-06-29 09:00:00,1589.00,362.50,155.00,92.50,0.00,83.50,-1.00,582.50
2022-06-29 10:00:00,1605.00,367.50,140.00,93.50,0.00,84.00,-1.00,611.00
2022-06-29 11:00:00,1550.00,367.50,126.50,92.50,0.00,83.00,-1.00,667.00
2022-06-29 12:00:00,1544.50,364.50,121.50,92.50,0.00,82.50,-1.00,686.00
2022-06-29 13:00:00,1569.50,316.00,89.50,94.00,0.00,99.00,10.50,720.00
2022-06-29 14:00:00,1605.00,309.50,71.50,95.00,0.00,110.00,-1.00,701.50
2022-06-29 15:00:00,1653.50,392.00,122.00,93.00,0.00,119.50,-1.00,560.50
2022-06-29 16:00:00,1695.50,452.00,134.50,95.00,0.00,121.50,-1.00,489.50
2022-06-29 17:00:00,1669.00,498.50,192.00,93.00,0.00,120.50,-1.00,436.00
2022-06-29 18:00:00,1686.00,453.00,195.00,94.00,0.00,122.50,-1.00,355.00
2022-06-29 19:00:00,1679.00,450.50,132.00,96.50,0.00,109.50,-1.00,296.00
2022-06-29 20:00:00,1694.00,450.00,120.00,95.00,0.00,86.50,-1.00,302.00
2022-06-29 21:00:00,1658.50,451.00,119.50,94.50,0.00,76.50,-1.00,298.50
2022-06-29 22:00:00,1631.50,338.00,92.50,96.00,0.00,60.00,-1.00,269.50
2022-06-29 23:00:00,1614.50,336.00,35.50,94.00,0.00,32.50,-1.00,229.00
2022-06-30 00:00:00,1635.00,265.50,36.50,95.50,0.00,33.00,-1.00,237.00
2022-06-30 01:00:00,1627.00,230.00,34.50,94.00,0.00,33.00,-1.00,266.00
2022-06-30 02:00:00,1628.00,205.50,35.50,96.00,0.00,33.00,-1.00,260.50
2022-06-30 03:00:00,1623.50,203.00,34.50,95.50,0.00,33.00,-1.00,223.00
2022-06-30 04:00:00,1562.00,224.00,44.50,93.50,0.00,32.00,-1.00,225.50
2022-06-30 05:00:00,1614.50,354.00,144.50,95.00,0.00,33.00,-1.00,209.00
2022-06-30 06:00:00,1638.50,462.00,202.00,95.00,0.00,33.00,-1.00,186.00
2022-06-30 07:00:00,1617.50,516.50,202.50,93.50,0.00,32.50,10.50,159.50
2022-06-30 08:00:00,1664.00,515.50,203.50,93.50,0.00,35.00,10.50,193.00
2022-06-30 09:00:00,1621.50,514.00,202.50,92.00,0.00,50.50,9.50,196.00
2022-06-30 10:00:00,1616.50,511.00,202.00,91.50,0.00,73.50,9.50,250.00
